Data, H, |I|, Out_Acc, In_Acc, Sol_Time, MIP_Gap, Obj_Val, Obj_Bound, Model, Lambda, Calibration_Time, Rand_State, Time_Limit, Tuning_Used, Num_CB, Num_Cuts, Total_CB_Time, MIP_Node_Time, MIP_Sol_Time, Max_Features, Single_Feature_Use, Regularization
soybean_small,3,35,1,1,0.005856037,0,35,35,BendersOCT,0,13.06429239,0,3600,TRUE,2,0,0.005108595,,,,,
iris,4,112,0.973684211,1,0.029793024,0,112,112,BendersOCT,0,530.1401989,138,3600,TRUE,2,0,0.028681517,,,,,
iris,4,112,0.947368421,1,0.02711916,0,112,112,BendersOCT,0,856.6599433,15,3600,TRUE,2,0,0.026232958,,,,,
iris,4,112,0.921052632,1,0.019254208,0,112,112,BendersOCT,0,784.8577232,89,3600,TRUE,2,0,0.01846838,,,,,
iris,4,112,1,1,0.034764051,0,112,112,BendersOCT,0,4158.970208,42,3600,TRUE,2,0,0.033674002,,,,,
iris,4,112,0.973684211,1,0.026837826,0,112,112,BendersOCT,0,429.1933717,0,3600,TRUE,2,0,0.025819302,,,,,
monk1,4,93,1,1,0.018646955,0,93,93,BendersOCT,0,103.059511,138,3600,TRUE,2,0,0.017764091,,,,,
monk1,4,93,0.903225806,1,0.011944056,0,93,93,BendersOCT,0,110.6548371,15,3600,TRUE,2,0,0.011323929,,,,,
monk1,4,93,1,1,0.011603117,0,93,93,BendersOCT,0,103.7309278,89,3600,TRUE,2,0,0.011003971,,,,,
monk1,4,93,1,1,0.020499945,0,93,93,BendersOCT,0,106.2237338,42,3600,TRUE,2,0,0.01959157,,,,,
monk1,4,93,1,1,0.019083023,0,93,93,BendersOCT,0,107.1205067,0,3600,TRUE,2,0,0.018255949,,,,,
soybean_small,4,35,0.416666667,1,0.014593124,0,35,35,BendersOCT,0,22.56262459,138,3600,TRUE,2,0,0.01317358,,,,,
soybean_small,4,35,0.916666667,1,0.008280039,0,35,35,BendersOCT,0,22.04789314,15,3600,TRUE,2,0,0.007267475,,,,,
soybean_small,4,35,0.833333333,1,0.010659933,0,35,35,BendersOCT,0,15.72446329,89,3600,TRUE,2,0,0.00949955,,,,,
soybean_small,4,35,0.833333333,1,0.015595913,0,35,35,BendersOCT,0,13.96023589,42,3600,TRUE,2,0,0.014117002,,,,,
soybean_small,4,35,0.916666667,1,0.012192965,0,35,35,BendersOCT,0,18.5279946,0,3600,TRUE,2,0,0.010935783,,,,,
iris,5,112,0.973684211,1,0.037488937,0,112,112,BendersOCT,0,1357.93355,138,3600,TRUE,2,0,0.036072493,,,,,
