Data,H,|I|,Out-Acc,In-Acc,Overfit,ObjVal,Num-Branch,Sol-Num,Priority-type,Sol-Time,Model,# CB,User Cuts,Cuts/CB,CB-Time,INT-CB-time,FRAC-CB-TIME,CB-Eps,Time Limit,Rand. State
climate,5,405,0.97037037,0.95308642,0.017283951,20,8,2,equal,3600.579117,CUT_w,0,0,0,0,0,0,0,3600,15
climate,5,405,0.940740741,0.933333333,0.007407407,20,6,3,equal,3600.579117,CUT_w,0,0,0,0,0,0,0,3600,15
climate,5,405,0.918518519,0.916049383,0.002469136,20,1,4,equal,3600.579117,CUT_w,0,0,0,0,0,0,0,3600,15
climate,5,405,0.925925926,0.911111111,0.014814815,20,1,5,equal,3600.579117,CUT_w,0,0,0,0,0,0,0,3600,15
climate,5,405,0.933333333,0.908641975,0.024691358,20,1,6,equal,3600.579117,CUT_w,0,0,0,0,0,0,0,3600,15
climate,5,405,0.296296296,0.355555556,-0.059259259,20,1,7,equal,3600.579117,CUT_w,0,0,0,0,0,0,0,3600,15
climate,5,405,0.296296296,0.355555556,-0.059259259,20,1,8,equal,3600.579117,CUT_w,0,0,0,0,0,0,0,3600,15
climate,5,405,0.933333333,0.908641975,0.024691358,405,0,1,branching,39.09875107,CUT,0,0,0,0,0,0,0,3600,15
climate,5,405,0.585185185,0.481481481,0.103703704,405,23,2,branching,39.09875107,CUT,0,0,0,0,0,0,0,3600,15
climate,5,405,0.933333333,0.908641975,0.024691358,405,0,1,branching,118.0625901,CUT_w,0,0,0,0,0,0,0,3600,15
climate,5,405,0.585185185,0.481481481,0.103703704,405,23,2,branching,118.0625901,CUT_w,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.712140175,0.724238632,-0.012098456,661,2,1,equal,3600.2807,CUT,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.663329161,0.688777639,-0.025448477,661,1,2,equal,3600.2807,CUT,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.667083855,0.658322904,0.008760951,661,1,3,equal,3600.2807,CUT,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.540675845,0.559032123,-0.018356279,661,1,4,equal,3600.2807,CUT,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.508135169,0.526908636,-0.018773467,661,0,5,equal,3600.2807,CUT,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.508135169,0.526908636,-0.018773467,2397,0,1,branching,13.79278302,CUT,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.508135169,0.526908636,-0.018773467,2397,0,2,branching,13.79278302,CUT,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.941176471,0.944096788,-0.002920317,134,6,1,equal,3600.195085,CUT_w,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.558197747,0.579474343,-0.021276596,134,6,2,equal,3600.195085,CUT_w,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.508135169,0.526908636,-0.018773467,134,1,3,equal,3600.195085,CUT_w,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.508135169,0.526908636,-0.018773467,134,0,4,equal,3600.195085,CUT_w,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.508135169,0.526908636,-0.018773467,2397,0,1,branching,12.61278701,CUT_w,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.508135169,0.526908636,-0.018773467,2397,0,2,branching,12.61278701,CUT_w,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.768460576,0.775969962,-0.007509387,537,2,1,data,3602.278513,MCF,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.663329161,0.688777639,-0.025448477,537,1,2,data,3602.278513,MCF,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.510638298,0.535669587,-0.025031289,537,3,3,data,3602.278513,MCF,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.508135169,0.526908636,-0.018773467,537,1,4,data,3602.278513,MCF,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.508135169,0.526908636,-0.018773467,537,0,5,data,3602.278513,MCF,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.818523154,0.810596579,0.007926575,454,10,1,equal,3603.175467,MCF,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.817271589,0.793909053,0.023362537,454,6,2,equal,3603.175467,MCF,0,0,0,0,0,0,0,3600,15
